song|type|difficulty|version
YATTA!|standard|basic|GreeN PLUS
fake!fake!|standard|basic|PiNK PLUS
HIMITSUスパーク|standard|basic|PiNK
日本の米は世界一|standard|basic|MURASAKi PLUS
HOT LIMIT|dx|basic|maimaiでらっくす
ハム太郎とっとこうた|dx|basic|maimaiでらっくす PLUS
おジャ魔女カーニバル!!|dx|basic|Splash PLUS
true my heart -Lovable mix-|standard|basic|FiNALE
ウッーウッーウマウマ(ﾟ∀ﾟ)|standard|basic|maimai
Rodeo Machine|standard|basic|MiLK PLUS
ポップミュージックは僕のもの|standard|basic|MURASAKi
ジンギスカン|standard|basic|MiLK PLUS
ミラクル・ショッピング|standard|basic|MiLK
ウマイネームイズうまみちゃん|dx|basic|maimaiでらっくす PLUS
きらっせ☆ウッド村ファーム|standard|basic|MURASAKi
にじよめちゃん体操第一億|standard|basic|MiLK PLUS
インドア系ならトラックメイカー|dx|basic|UNiVERSE
タケモトピアノCMソング|dx|basic|Splash PLUS
踊|dx|advanced|FESTiVAL
うっせぇわ|dx|advanced|UNiVERSE
残響散歌|dx|advanced|FESTiVAL
YONA YONA DANCE|dx|advanced|UNiVERSE PLUS
春を告げる|dx|advanced|UNiVERSE PLUS
夜に駆ける|dx|advanced|UNiVERSE
廻廻奇譚|dx|advanced|UNiVERSE
veil|dx|advanced|UNiVERSE
秒針を噛む|dx|advanced|Splash PLUS
だから僕は音楽を辞めた|dx|advanced|maimaiでらっくす PLUS
前前前世|standard|advanced|MURASAKi PLUS
くらべられっ子|dx|advanced|UNiVERSE PLUS
あの世行きのバスに乗ってさらば。|dx|advanced|UNiVERSE PLUS
泥の分際で私だけの大切を奪おうだなんて|dx|advanced|UNiVERSE
　|dx|advanced|UNiVERSE PLUS
Princess♂|dx|advanced|UNiVERSE PLUS
Photon Melodies|dx|advanced|UNiVERSE PLUS
吾輩よ猫であれ|dx|advanced|UNiVERSE PLUS
剣を抜け！GCCX MAX|dx|advanced|UNiVERSE PLUS
ヒトガタ|dx|advanced|UNiVERSE PLUS
オントロジー|dx|advanced|UNiVERSE PLUS
VOLTAGE|dx|advanced|UNiVERSE
Virtual to LIVE|dx|advanced|Splash
Shiny Smily Story|dx|advanced|Splash PLUS
Shooting Stars|dx|advanced|UNiVERSE
MOON NIGHTのせいにして|dx|advanced|UNiVERSE
ドラゴンエネルギー|dx|advanced|UNiVERSE
冬のこもりうた|dx|advanced|Splash PLUS
いつかいい感じにアレしよう|dx|advanced|maimaiでらっくす PLUS
君の知らない物語|dx|advanced|GreeN
君の知らない物語|standard|advanced|GreeN
ネ！コ！|standard|advanced|FiNALE
only my railgun|standard|advanced|FiNALE
